_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6a11350d655b2abc629626a9,false,120.04,95.24,134.45,88.15,150;4;1;0,time,15,-1,2,14.99,0,11.93,false,false,english,,normal,false,false,false,,1779512589000
6a103b70655b2abc628e1880,false,121.63,94.22,138.44,87,152;6;0;2,time,15,-1,6,15,0,12.15,false,false,english,,normal,false,false,false,,1779448688000
6a103b4b655b2abc628e170e,false,125.61,100,125.61,85.67,157;0;0;0,time,15,-1,1,15,0,1.62,false,false,english,,normal,false,false,false,,1779448651000
6a0fe97f655b2abc628b35b2,false,114.3,97.37,120.69,77.83,143;0;1;1,time,15,-1,10,15.01,0,24.18,false,false,english,,normal,false,false,false,,1779427711000
6a0e9743655b2abc627ef659,false,114.4,90.91,132,88.5,143;10;1;1,time,15,-1,6,15,0,17.16,false,false,english,,normal,false,false,false,,1779341123000
6a0e9715655b2abc627ef4fe,false,116.8,94.58,132.8,86.61,146;4;2;1,time,15,-1,8,15,0,21.28,false,false,english,,normal,false,false,false,,1779341077000
6a0e899d655b2abc627e85c4,false,98.35,94.23,124.74,90.19,123;4;0;3,time,15,-1,9,15.01,0,20.74,false,false,english,,normal,false,false,false,,1779337629000
6a0e895c655b2abc627e83b1,false,119.97,98.06,123.97,87.42,150;2;0;0,time,15,-1,3,15,0,4.97,false,false,english,,normal,false,false,false,,1779337564000
6a0e8941655b2abc627e82c4,false,122.44,94.74,136.05,85.39,153;4;1;0,time,15,-1,1,15,0,0.92,false,false,english,,normal,false,false,false,,1779337537000
6a0d8e8932edce57f7b0ef34,false,119.16,94.74,136.76,86.87,149;5;0;1,time,15,-1,6,15,0,26.15,false,false,english,,normal,false,false,false,,1779273353000
6a0c2a9832edce57f7a34098,false,123.14,97.5,126.33,85.61,154;1;0;1,time,15,-1,1,15.01,0,13.22,false,false,english,,normal,false,false,false,,1779182232000
6a0c2a7732edce57f7a33f44,false,112.81,90.74,129.61,90.32,141;10;1;2,time,15,-1,1,15,0,11.6,false,false,english,,normal,false,false,false,,1779182199000
6a0be4db32edce57f7a0bb0d,false,123.92,97.52,127.91,84.61,155;2;0;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1779164379000
6a0bdbac32edce57f7a072e9,false,105.54,90.97,123.93,82.81,132;9;1;1,time,15,-1,5,15.01,0,13.04,false,false,english,,normal,false,false,false,,1779162028000
6a0bdb8a32edce57f7a071ef,false,93.65,85.35,124.87,80.31,117;10;7;0,time,15,-1,20,14.99,0,38.64,false,false,english,,normal,false,false,false,,1779161994000
6a06e4f032edce57f776c133,false,106.41,94.7,120.81,75.54,133;5;0;1,time,15,-1,27,15,0,86.29,false,false,english,,normal,false,false,false,,1778836720000
6a06e30d32edce57f776afe7,false,120.01,96.36,132.01,87.58,150;3;0;1,time,15,-1,3,15,0,5.46,false,false,english,,normal,false,false,false,,1778836237000
6a06cdb232edce57f775f197,false,93.59,91.55,111.99,82.81,117;7;0;1,time,15,-1,6,15,0,22.53,false,false,english,,normal,false,false,false,,1778830770000
6a06bcc532edce57f7755d90,false,100,88.48,132,90.04,125;8;4;6,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1778826437000
6a06bbae32edce57f775541c,false,122.39,96.84,126.39,89.11,153;4;0;1,time,15,-1,2,15,0,3.31,false,false,english,,normal,false,false,false,,1778826158000
6a056c3332edce57f768580d,false,127.21,96.99,131.21,81.79,159;2;0;1,time,15,-1,18,15,0,47.52,false,false,english,,normal,false,false,false,,1778740275000
6a0404b432edce57f75a4f03,false,112.03,96.13,124.03,88.46,140;2;1;2,time,15,-1,3,15,0,15.18,false,false,english,,normal,false,false,false,,1778648244000
6a0321b632edce57f75116dc,false,117.62,96.82,125.62,82.96,147;3;0;0,time,15,-1,12,15,0,26.72,false,false,english,,normal,false,false,false,,1778590134000
6a02cc4032edce57f74d9a6e,false,113.58,97.32,119.18,88.11,142;3;0;0,time,15,-1,3,15,0,8.64,false,false,english,,normal,false,false,false,,1778568256000
6a02cc2432edce57f74d9927,false,106.39,97.81,108.79,79.28,133;1;0;0,time,15,-1,4,15,0,7.43,false,false,english,,normal,false,false,false,,1778568228000
6a02c96032edce57f74d7f1e,false,96.84,89.4,120.05,79.33,121;10;0;2,time,15,-1,6,14.99,0,30.08,false,false,english,,normal,false,false,false,,1778567520000
6a02c92532edce57f74d7d43,false,102.26,91.72,124.63,90.22,128;8;0;2,time,15,-1,7,15.02,0,31.06,false,false,english,,normal,false,false,false,,1778567461000
6a02c5b032edce57f74d5cf9,false,122.3,94.74,136.69,84.71,153;5;1;1,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1778566576000
6a02baf332edce57f74cfc2a,false,100.79,91.84,117.59,85.96,126;8;0;1,time,15,-1,4,15,0,14.5,false,false,english,,normal,false,false,false,,1778563827000
6a02ba5c32edce57f74cf718,false,112.79,93.75,125.58,76.62,141;4;1;1,time,15,-1,7,15,0,24.31,false,false,english,,normal,false,false,false,,1778563676000
6a016e5e77aa750033972895,false,121.58,96.95,131.18,88.21,152;3;0;0,time,15,-1,3,15,0,3.52,false,false,english,,normal,false,false,false,,1778478686000
6a016d0677aa750033971c85,false,105.58,99.25,105.58,84.66,132;0;0;0,time,15,-1,3,15,0,7.45,false,false,english,,normal,false,false,false,,1778478342000
6a016cea77aa750033971bb4,false,100.86,97.71,103.26,78.49,126;0;0;1,time,15,-1,9,14.99,0,42.17,false,false,english,,normal,false,false,false,,1778478314000
6a01607b77aa75003396b3da,false,109.58,97.16,112.78,85.06,137;3;0;1,time,15,-1,3,15,0,16.83,false,false,english,,normal,false,false,false,,1778475131000
